sample,fraction,genus,species,genus_hex,species_hex
C_LR16sKAPA,0.0019644077760697,Moraxella,Moraxella nonliquefaciens,#5B33AE,#896AC6
C_LR16sKAPA,0.0482422882738778,Pseudomonas,Pseudomonas aeruginosa,#5C9531,#5C9531
C_LR16sKAPA,0.0111606155983243,Corynebacterium,Corynebacterium tuberculostearicum,#007884,#44CADD
D_LR16sKAPA,0.530226124200794,Staphylococcus,Staphylococcus aureus,#F89E21,#F89E21
D_LR16sKAPA,0.198650446559902,Corynebacterium,Corynebacterium pseudodiphtheriticum,#007884,#00A2BA
D_LR16sKAPA,0.0010630866371502,Corynebacterium,Corynebacterium propinquum,#007884,#008C9D
D_LR16sKAPA,0.111997078483766,Moraxella,Moraxella catarrhalis,#5B33AE,#5B33AE
D_LR16sKAPA,0.0014828461885033,Moraxella,Moraxella nonliquefaciens,#5B33AE,#896AC6
D_LR16sKAPA,0.0842090745054783,Staphylococcus,Staphylococcus epidermidis,#F89E21,#FFE934
D_LR16sKAPA,0.0117823573265404,Corynebacterium,Corynebacterium tuberculostearicum,#007884,#44CADD
D_LR16sKAPA,0.0375928788268167,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
D_LR16sKAPA,0.0229961072710508,Pseudomonas,Pseudomonas aeruginosa,#5C9531,#5C9531
E_LR16sKAPA,0.206620741191379,Corynebacterium,Corynebacterium pseudodiphtheriticum,#007884,#00A2BA
E_LR16sKAPA,0.0014248176520677,Corynebacterium,Corynebacterium propinquum,#007884,#008C9D
E_LR16sKAPA,0.0116105637355252,Corynebacterium,Corynebacterium tuberculostearicum,#007884,#44CADD
E_LR16sKAPA,0.517535690863175,Staphylococcus,Staphylococcus aureus,#F89E21,#F89E21
E_LR16sKAPA,0.10042204829975,Moraxella,Moraxella catarrhalis,#5B33AE,#5B33AE
E_LR16sKAPA,0.0011382911401231,Moraxella,Moraxella nonliquefaciens,#5B33AE,#896AC6
E_LR16sKAPA,0.103968077077508,Staphylococcus,Staphylococcus epidermidis,#F89E21,#FFE934
E_LR16sKAPA,0.0386171879498621,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
E_LR16sKAPA,0.0186625820906085,Pseudomonas,Pseudomonas aeruginosa,#5C9531,#5C9531
F_LR16sKAPA,0.150701155502413,Corynebacterium,Corynebacterium pseudodiphtheriticum,#007884,#00A2BA
F_LR16sKAPA,0.522467925773115,Staphylococcus,Staphylococcus aureus,#F89E21,#F89E21
F_LR16sKAPA,0.124182808302636,Moraxella,Moraxella catarrhalis,#5B33AE,#5B33AE
F_LR16sKAPA,0.0013369181320455,Moraxella,Moraxella nonliquefaciens,#5B33AE,#896AC6
F_LR16sKAPA,0.0369105630951685,Pseudomonas,Pseudomonas aeruginosa,#5C9531,#5C9531
F_LR16sKAPA,0.0978016961887521,Staphylococcus,Staphylococcus epidermidis,#F89E21,#FFE934
F_LR16sKAPA,0.0097021655676312,Corynebacterium,Corynebacterium tuberculostearicum,#007884,#44CADD
F_LR16sKAPA,0.0568967674382393,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
A_SRshot,0.2543133462282415,Pseudomonas,Pseudomonas aeruginosa,#5C9531,#5C9531
A_SRshot,0.21791102514506974,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
A_SRshot,0.11640232108317289,Corynebacterium,Corynebacterium pseudodiphtheriticum,#007884,#00A2BA
A_SRshot,0.11292069632495241,Staphylococcus,Staphylococcus aureus,#F89E21,#F89E21
A_SRshot,0.09388781431334667,Corynebacterium,Corynebacterium kefirresidentii,#007884,#007884
A_SRshot,0.09346228239845263,Staphylococcus,Staphylococcus epidermidis,#F89E21,#FFE934
A_SRshot,0.07535783365570618,Moraxella,Moraxella catarrhalis,#5B33AE,#5B33AE
A_SRshot,0.014816247582204813,Bacillus A,Bacillus A anthracis,#303E45,#303E45
A_SRshot,0.00441005802707825,Klebsiella,Klebsiella quasipneumoniae,#D31A55,#EA376F
A_SRshot,0.0034429400386840974,Bacillus A,Bacillus A wiedmannii,#303E45,#557280
A_SRshot,0.0032882011605401195,Pseudomonas,Pseudomonas aeruginosa A,#5C9531,#70AA3A
A_SRshot,0.0030947775628612888,Klebsiella,Klebsiella variicola,#D31A55,#F284A8
A_SRshot,0.0022823984526111137,Corynebacterium,Corynebacterium propinquum,#007884,#008C9D
A_SRshot,0.0022823984526111137,Klebsiella,Klebsiella africana,#D31A55,#D31A55
A_SRshot,0.0021276595744671362,Corynebacterium,Corynebacterium sp022288805,#007884,#00B4CF
B_SRshot,0.2516805592901353,Pseudomonas,Pseudomonas aeruginosa,#5C9531,#5C9531
B_SRshot,0.2188760419467627,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
B_SRshot,0.11604501978258412,Corynebacterium,Corynebacterium pseudodiphtheriticum,#007884,#00A2BA
B_SRshot,0.1117043752160723,Staphylococcus,Staphylococcus aureus,#F89E21,#F89E21
B_SRshot,0.0951484654092888,Corynebacterium,Corynebacterium kefirresidentii,#007884,#007884
B_SRshot,0.09280528559904802,Staphylococcus,Staphylococcus epidermidis,#F89E21,#FFE934
B_SRshot,0.07736334652172275,Moraxella,Moraxella catarrhalis,#5B33AE,#5B33AE
B_SRshot,0.01302193369953384,Bacillus A,Bacillus A anthracis,#303E45,#303E45
B_SRshot,0.004916836323126961,Klebsiella,Klebsiella africana,#D31A55,#D31A55
B_SRshot,0.004455882917834525,Klebsiella,Klebsiella variicola,#D31A55,#F284A8
B_SRshot,0.0033803249721499904,Klebsiella,Klebsiella quasipneumoniae,#D31A55,#EA376F
B_SRshot,0.003149848269502953,Bacillus A,Bacillus A wiedmannii,#303E45,#557280
B_SRshot,0.002804133215533217,Corynebacterium,Corynebacterium propinquum,#007884,#008C9D
B_SRshot,0.00257365651288618,Pseudomonas,Pseudomonas aeruginosa A,#5C9531,#70AA3A
B_SRshot,0.002074290323818418,Corynebacterium,Corynebacterium sp022288805,#007884,#00B4CF
C_SRshot,0.26099764336213754,Pseudomonas,Pseudomonas aeruginosa,#5C9531,#5C9531
C_SRshot,0.22321288295365344,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
C_SRshot,0.11209740769835116,Staphylococcus,Staphylococcus aureus,#F89E21,#F89E21
C_SRshot,0.11154752553024423,Corynebacterium,Corynebacterium pseudodiphtheriticum,#007884,#00A2BA
C_SRshot,0.09489395129615141,Staphylococcus,Staphylococcus epidermidis,#F89E21,#FFE934
C_SRshot,0.09198743126472957,Corynebacterium,Corynebacterium kefirresidentii,#007884,#007884
C_SRshot,0.07572663000785526,Moraxella,Moraxella catarrhalis,#5B33AE,#5B33AE
C_SRshot,0.013786331500391751,Bacillus A,Bacillus A anthracis,#303E45,#303E45
C_SRshot,0.003927729772191513,Klebsiella,Klebsiella variicola,#D31A55,#F284A8
C_SRshot,0.003260015710918233,Pseudomonas,Pseudomonas aeruginosa A,#5C9531,#70AA3A
C_SRshot,0.003024351924586873,Klebsiella,Klebsiella africana,#D31A55,#D31A55
C_SRshot,0.0029457973291426485,Bacillus A,Bacillus A wiedmannii,#303E45,#557280
C_SRshot,0.002592301649646267,Klebsiella,Klebsiella quasipneumoniae,#D31A55,#EA376F
E_SRshot,0.25172143974961164,Pseudomonas,Pseudomonas aeruginosa,#5C9531,#5C9531
E_SRshot,0.22233959311424215,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
E_SRshot,0.1164319248826289,Corynebacterium,Corynebacterium pseudodiphtheriticum,#007884,#00A2BA
E_SRshot,0.11361502347417894,Staphylococcus,Staphylococcus aureus,#F89E21,#F89E21
E_SRshot,0.09577464788732382,Corynebacterium,Corynebacterium kefirresidentii,#007884,#007884
E_SRshot,0.09452269170579107,Staphylococcus,Staphylococcus epidermidis,#F89E21,#FFE934
E_SRshot,0.07558685446009371,Moraxella,Moraxella catarrhalis,#5B33AE,#5B33AE
E_SRshot,0.010485133020343923,Bacillus A,Bacillus A anthracis,#303E45,#303E45
E_SRshot,0.004264475743348468,Klebsiella,Klebsiella variicola,#D31A55,#F284A8
E_SRshot,0.002973395931142228,Corynebacterium,Corynebacterium propinquum,#007884,#008C9D
E_SRshot,0.0029342723004687275,Klebsiella,Klebsiella quasipneumoniae,#D31A55,#EA376F
E_SRshot,0.0028169014084499784,Spirillospora,Spirillospora cremea,#ED6106,#ED6106
E_SRshot,0.0023865414710484826,Klebsiella,Klebsiella africana,#D31A55,#D31A55
E_SRshot,0.0021126760563374837,Corynebacterium,Corynebacterium sp022288805,#007884,#00B4CF
E_SRshot,0.0020344287949904823,Bacillus A,Bacillus A wiedmannii,#303E45,#557280
F_SRshot,0.2597303892155704,Pseudomonas,Pseudomonas aeruginosa,#5C9531,#5C9531
F_SRshot,0.22532901316052742,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
F_SRshot,0.11440457618304738,Corynebacterium,Corynebacterium pseudodiphtheriticum,#007884,#00A2BA
F_SRshot,0.114164566582664,Staphylococcus,Staphylococcus aureus,#F89E21,#F89E21
F_SRshot,0.09664386575462985,Staphylococcus,Staphylococcus epidermidis,#F89E21,#FFE934
F_SRshot,0.09252370094803844,Corynebacterium,Corynebacterium kefirresidentii,#007884,#007884
F_SRshot,0.07636305452218103,Moraxella,Moraxella catarrhalis,#5B33AE,#5B33AE
F_SRshot,0.007880315212608369,Bacillus A,Bacillus A anthracis,#303E45,#303E45
F_SRshot,0.0033201328053113536,Klebsiella,Klebsiella variicola,#D31A55,#F284A8
F_SRshot,0.002840113604543312,Spirillospora,Spirillospora cremea,#ED6106,#ED6106
F_SRshot,0.0024800992039675923,Klebsiella,Klebsiella quasipneumoniae,#D31A55,#EA376F
F_SRshot,0.002280091203647886,Pseudomonas,Pseudomonas aeruginosa A,#5C9531,#70AA3A
F_SRshot,0.002040081603263243,Bacillus A,Bacillus A wiedmannii,#303E45,#557280
A_SRshot_noPre,0.25563271604938526,Pseudomonas,Pseudomonas aeruginosa,#5C9531,#5C9531
A_SRshot_noPre,0.21732253086419986,Klebsiella,Klebsiella pneumoniae,#D31A55,#E71C57
A_SRshot_noPre,0.11631944444444556,Corynebacterium,Corynebacterium pseudodiphtheriticum,#007884,#00A2BA
A_SRshot_noPre,0.1126543209876549,Staphylococcus,Staphylococcus aureus,#F89E21,#F89E21
