sample,fraction,genus,species,genus_hex,species_hex
A_LR16sKAPA,0.0011005677934747,Corynebacterium,Corynebacterium propinquum,#165AB8,#186BCC
A_LR16sKAPA,0.0269568832857043,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
A_LR16sKAPA,0.0968227205294962,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
A_LR16sKAPA,0.0404279366563018,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
A_LR16sKAPA,0.0164569228467571,Corynebacterium,Corynebacterium tuberculostearicum,#165AB8,#3A9BF3
B_LR16sKAPA,0.151700444384481,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
B_LR16sKAPA,0.0010464814743685,Corynebacterium,Corynebacterium propinquum,#165AB8,#186BCC
B_LR16sKAPA,0.519055118237298,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
B_LR16sKAPA,0.137279545957151,Moraxella,Moraxella catarrhalis,#252F87,#252F87
B_LR16sKAPA,0.0012126126910245,Moraxella,Moraxella nonliquefaciens,#252F87,#3240A1
B_LR16sKAPA,0.108430088767161,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
B_LR16sKAPA,0.0135130237940438,Corynebacterium,Corynebacterium tuberculostearicum,#165AB8,#3A9BF3
B_LR16sKAPA,0.022195088499247,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
B_LR16sKAPA,0.0455675961952256,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
C_LR16sKAPA,0.0684046634969463,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
C_LR16sKAPA,0.117303631457608,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
C_LR16sKAPA,0.0012544034641772,Corynebacterium,Corynebacterium propinquum,#165AB8,#186BCC
C_LR16sKAPA,0.0987568236015384,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
C_LR16sKAPA,0.482571945554216,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
C_LR16sKAPA,0.170341220777244,Moraxella,Moraxella catarrhalis,#252F87,#252F87
C_LR16sKAPA,0.0019644077760697,Moraxella,Moraxella nonliquefaciens,#252F87,#3240A1
C_LR16sKAPA,0.0482422882738778,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
C_LR16sKAPA,0.0111606155983243,Corynebacterium,Corynebacterium tuberculostearicum,#165AB8,#3A9BF3
D_LR16sKAPA,0.530226124200794,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
D_LR16sKAPA,0.198650446559902,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
D_LR16sKAPA,0.0010630866371502,Corynebacterium,Corynebacterium propinquum,#165AB8,#186BCC
D_LR16sKAPA,0.111997078483766,Moraxella,Moraxella catarrhalis,#252F87,#252F87
D_LR16sKAPA,0.0014828461885033,Moraxella,Moraxella nonliquefaciens,#252F87,#3240A1
D_LR16sKAPA,0.0842090745054783,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
D_LR16sKAPA,0.0117823573265404,Corynebacterium,Corynebacterium tuberculostearicum,#165AB8,#3A9BF3
D_LR16sKAPA,0.0375928788268167,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
D_LR16sKAPA,0.0229961072710508,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
E_LR16sKAPA,0.206620741191379,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
E_LR16sKAPA,0.0014248176520677,Corynebacterium,Corynebacterium propinquum,#165AB8,#186BCC
E_LR16sKAPA,0.0116105637355252,Corynebacterium,Corynebacterium tuberculostearicum,#165AB8,#3A9BF3
E_LR16sKAPA,0.517535690863175,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
E_LR16sKAPA,0.10042204829975,Moraxella,Moraxella catarrhalis,#252F87,#252F87
E_LR16sKAPA,0.0011382911401231,Moraxella,Moraxella nonliquefaciens,#252F87,#3240A1
E_LR16sKAPA,0.103968077077508,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
E_LR16sKAPA,0.0386171879498621,Klebsiella,Klebsiella pneumoniae,#BF2524,#BF2524
E_LR16sKAPA,0.0186625820906085,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
F_LR16sKAPA,0.150701155502413,Corynebacterium,Corynebacterium pseudodiphtheriticum,#165AB8,#1C7DE1
F_LR16sKAPA,0.522467925773115,Staphylococcus,Staphylococcus aureus,#5C9531,#5C9531
F_LR16sKAPA,0.124182808302636,Moraxella,Moraxella catarrhalis,#252F87,#252F87
F_LR16sKAPA,0.0013369181320455,Moraxella,Moraxella nonliquefaciens,#252F87,#3240A1
F_LR16sKAPA,0.0369105630951685,Pseudomonas,Pseudomonas aeruginosa,#D31A55,#D31A55
F_LR16sKAPA,0.0978016961887521,Staphylococcus,Staphylococcus epidermidis,#5C9531,#91C559
F_LR16sKAPA,0.0097021655676312,Corynebacterium,Corynebacterium tuberculostearicum,#165AB8,#3A9BF3
